,AdministrativeAreaLevel2,Amount
0,Antrim and Newtownabbey,78
1,North Down and Ards,100
2,Armagh Banbridge and Craigavon,53
3,Mid and East Antrim,86
4,Causway Coast and Glens,27
5,Armagh Banbridge and Craigavon,49
6,Belfast,698
7,Mid and East Antrim,46
8,Lisburn and Castlereagh,59
9,Causway Coast and Glens,90
10,Mid Ulster,32
11,Newry Mourne and Down,103
12,Armagh Banbridge and Craigavon,138
13,Derry and Strabane,153
14,Dungannon and South Tyrone,56
15,Fermanagh and Omagh,71
16,Mid and East Antrim,52
17,Causway Coast and Glens,27
18,Lisburn and Castlereagh,138
19,Mid Ulster,44
20,Causway Coast and Glens,11
21,Newry Mourne and Down,85
22,Antrim and Newtownabbey,104
23,North Down and Ards,124
24,Fermanagh and Omagh,42
25,Derry and Strabane,33
