	index	Date	Longitude	Latitude	Location	Crime type	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
0	260	2016-09	-5.964265	54.586611	On or near 	Anti-social behaviour	8-80	St Katharines Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT12
1	3309	2015-06	-5.931541	54.596433	On or near Donegall Square West	Anti-social behaviour	9	Donegall Square W	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 6JH
2	5128	2015-07	-5.940717	54.616375	On or near Cliftonville Avenue	Anti-social behaviour	24-42	Cliftonville Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT14
3	2612	2014-12	-6.722386	54.511590000000005	On or near Cavan Road	Anti-social behaviour	15	Cavan Rd		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT71
4	4326	2015-06	-6.036385	54.508168999999995	On or near Templar Avenue	Anti-social behaviour	5	Templar Ave	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT27 5EL
5	1962	2015-08	-5.699039	54.594156999999996	On or near Regent Street	Anti-social behaviour	30-32	A20	Newtownards	Ards	Northern Ireland	United Kingdom	BT23 4BT
6	3368	2015-01	-5.928554	54.600102	On or near Winecellar Entry	Anti-social behaviour	2-4	Winecellar Entry	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 1QN
7	1086	2015-06	-5.958642	54.670813	On or near 	Anti-social behaviour	300-302	Antrim Rd	Glengormley	Newtownabbey	Northern Ireland	United Kingdom	BT36 5EG
8	2013	2016-04	-5.900698	54.577249	On or near Shimna Close	Anti-social behaviour	22	Shimna Cl		Castlereagh	Northern Ireland	United Kingdom	BT6 0DZ
9	319	2015-08	-5.915143	54.596349	On or near Laganbank Road	Anti-social behaviour	1-3	Laganbank Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT1
10	37	2016-06	-6.338787	54.181339	On or near Mourne View Park	Anti-social behaviour	1	Mulligans Ct	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35 6BY
11	335	2015-05	-6.464419	54.424009999999996	On or near Westland Road	Anti-social behaviour	107	Westland Rd	Portadown	Craigavon	Northern Ireland	United Kingdom	BT62 4DJ
12	3039	2015-01	-5.807505	54.59486	On or near Upper Newtownards Road	Anti-social behaviour	959	Upper Newtownards Rd		Castlereagh	Northern Ireland	United Kingdom	BT16 1RL
13	2963	2015-12	-7.664181	54.332449	On or near Drumawill Park	Anti-social behaviour	1	Drumawill Park		Fermanagh	Northern Ireland	United Kingdom	BT74 5JR
14	2682	2015-05	-5.928439	54.613038	On or near Glenrosa Street	Anti-social behaviour	37	Glenrosa St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2JB
15	532	2015-08	-6.022905000000001	54.569524	On or near Colinbrook Crescent	Anti-social behaviour	11-23	Colinbrook Cres	Dunmurry	Lisburn	Northern Ireland	United Kingdom	BT17 0PF
16	4300	2015-08	-6.033078	54.510164	On or near Gregg Street	Anti-social behaviour	16	Gregg Street Mews	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT27
17	687	2016-03	-5.9202069999999996	54.608718999999994	On or near Dock Street	Anti-social behaviour	65	Dock St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 1LF
18	881	2015-02	-6.000904	54.563753000000005	On or near Moor Park Avenue	Anti-social behaviour	4	Brooke Park	Belfast	Belfast	Northern Ireland	United Kingdom	BT10 0QE
19	4251	2015-09	-5.941648000000001	54.60283199999999	On or near Dover Street	Anti-social behaviour	3	Dover St	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 2EB
20	2167	2016-12	-5.9320129999999995	54.610629	On or near Duncairn Parade	Anti-social behaviour		Duncairn Parade	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2EW
21	4747	2014-10	-6.705261	55.173152	On or near Millrush Park	Anti-social behaviour	14	Millrush Park	Portstewart	Coleraine	Northern Ireland	United Kingdom	BT55 7FZ
22	2216	2017-04	-5.812389	54.859973	On or near Ferris Avenue	Anti-social behaviour	19-87	Ferris Ave	Larne	Larne	Northern Ireland	United Kingdom	BT40
23	3731	2017-01	-5.938485	54.618871	On or near Antrim Road	Anti-social behaviour	4	Camberwell Terrace	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 3AS
24	2072	2016-05	-6.6722399999999995	55.132525	On or near Queen Street	Anti-social behaviour	1	Queen St	Coleraine	Coleraine	Northern Ireland	United Kingdom	BT52 1BE
25	1604	2015-09	-6.327627	54.462956000000005	On or near Stevenson Park	Anti-social behaviour	1	Stevenson Park	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT67 9BJ
26	4336	2016-03	-6.656237	54.352608	On or near Lower English Street	Anti-social behaviour	3	Banbrook Hill	Armagh	Armagh	Northern Ireland	United Kingdom	BT61 7LW
27	3059	2017-04	-6.339619	54.176616	On or near 	Anti-social behaviour			Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT34 1BX
28	1838	2015-01	-7.452441	54.257872	On or near Sylvan Hill	Anti-social behaviour	62	Sylvan Hill	Lisnaskea	Fermanagh	Northern Ireland	United Kingdom	BT92 0LP
29	1078	2016-04	-5.979331	54.596647999999995	On or near Springhill Avenue	Anti-social behaviour	40-46	Springhill Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 7SG
