,Quarter Year,Antrim and Newtownabbey Standardised Price,Ards and North Down Standardised Price,Armagh City Banbridge and Craigavon Standardised Price,Belfast Standardised Price,Causeway Coast and Glens Standardised Price,Derry City and Strabane Standardised Price,Fermanagh and Omagh Standardised Price,Lisburn and Castlereagh Standardised Price,Mid and East Antrim Standardised Price,Mid Ulster Standardised Price,Newry Mourne and Down Standardised Price
0,Q1 2005,114851.5283,130398.5697,100785.146,105516.5044,120121.3222,94944.04115,104874.9802,128828.3275,105865.4089,114882.2112,113420.8802
1,Q2 2005,114644.8627,135289.4856,104807.11,106309.1702,124697.7242,99464.54063,112360.5293,134475.2255,108140.0659,123462.5013,125971.1914
2,Q3 2005,124091.7406,137133.0378,108434.9103,115847.3007,134710.5798,106011.1153,120660.3976,143327.2371,116738.9704,131525.9296,131900.3337
3,Q4 2005,128683.1757,142808.5388,114415.0723,117023.9811,139314.013,110816.9259,125338.4222,149434.7692,118639.7599,136286.3975,139092.2967
4,Q1 2006,130476.1978,146579.9155,120090.8527,118713.2037,144989.7939,117650.2968,129914.1521,148403.8238,119980.4773,144890.3659,143391.8902
5,Q2 2006,142847.7682,156878.5019,132629.1629,134320.8816,156499.5277,128115.2716,142379.6898,165758.0187,131152.1855,152497.4048,153012.0715
6,Q3 2006,160367.5824,175449.8792,149270.0362,151257.365,170113.7448,142906.237,160048.1393,186013.0617,145595.7948,164864.8236,169594.0256
7,Q4 2006,180556.2334,197903.6588,170765.9318,170931.2441,186110.4489,152874.4014,170501.2902,209071.8111,163696.7483,186048.6532,193681.7557
8,Q1 2007,199003.2479,222578.4006,194409.8259,186492.7613,211274.5124,161643.4724,186653.3286,235396.0716,184016.623,202872.4485,207148.9644
9,Q2 2007,218248.2451,247581.4416,207773.4682,204293.7474,232465.5058,173450.9557,190453.7036,258303.5545,202715.6469,224036.9863,222887.0072
10,Q3 2007,229185.8015,257957.6471,212065.4249,213625.9302,239129.326,180450.0241,192887.9277,270713.6075,209125.6411,218010.1701,240246.9325
11,Q4 2007,216908.4172,269355.1244,190140.1514,196167.5569,227268.8414,178329.0001,194248.6188,263852.3533,204240.0411,199336.7669,229375.1509
12,Q1 2008,198381.7552,257330.6858,184485.7738,177481.7326,209926.7008,169529.7269,186390.123,229234.071,187710.2663,189409.4498,204602.1353
13,Q2 2008,191816.8656,234338.6255,161639.6558,168433.8207,203817.4543,154272.5461,169874.8641,222412.0151,183728.1782,171463.2673,195512.936
