	Latitude	Longitude	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
0	54.60007150000001	-5.933337900000001	68	Berry St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 1FJ
1	54.597899	-5.936627100000001	1-13	College Pl N	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 4WA
2	54.56097639999999	-5.9114297		Purdy's Ln		Castlereagh	Northern Ireland	United Kingdom	BT8 7AR
3	54.60961649999999	-5.9300921			Queens Parade	Belfast	Northern Ireland	United Kingdom	BT15 2ES
4	54.5982922	-5.882490499999999	46	Lomond Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT4 3AJ
5	54.99495599999999	-7.307456299999999		Glendermott Rd	Londonderry	Derry	Northern Ireland	United Kingdom	BT47 6BG
6	54.59912370000001	-5.955949599999999	1a	Clonard Gardens	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 2RL
7	54.46039749999999	-6.9436613	45	Dergenagh Rd		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT70 1TW
8	54.570961	-5.982665	22	Stockmans Way	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 7JU
9	54.6145632	-5.956051599999999	19	Havana Way	Belfast	Belfast	Northern Ireland	United Kingdom	BT14 7EH
10	54.8527836	-5.8237922	32	Pound Green Ct	Larne	Larne	Northern Ireland	United Kingdom	BT40 1SJ
11	54.6654585	-5.731177299999999	20	Carolsteen Ave	Helen's Bay	North Down	Northern Ireland	United Kingdom	BT19 1LJ
12	54.4270588	-6.4557501	185-203	Obins St	Portadown	Craigavon	Northern Ireland	United Kingdom	BT62
13	54.1770208	-6.3371508	81a	Hill St	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT34 1DG
14	54.6010095	-5.9266181	4-24	Waring St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1
15	54.5902052	-5.926675899999998	126-128	Donegall Pass	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 1BA
16	54.5756114	-5.901023099999999	21	Dennet End	Castlereagh	Castlereagh	Northern Ireland	United Kingdom	BT6
17	54.6102612	-5.931170499999999	42	Bruslee Way	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2EF
18	54.5980561	-5.974709199999999	638	Springfield Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 7DY
19	54.5662151	-6.023469099999999	31	Colin Rd	Dunmurry	Lisburn	Northern Ireland	United Kingdom	BT17 0LG
